??? ??????,??? ??????,??? ??????,?????? ????,???? ???????
216,???? ???????? ???????,????????,?????????? ?????????,??????
216001,???? ?????? ??????,????????,???? ???????? ???????,???? ????
216002,???????? ??????? ?????,????????,???? ???????? ???????,???? ????
22,?????????? ??? ?????????,????????,??????????,??????
221,???? ????? ?????,????????,?????????? ??? ?????????,??????
221001,???? ????? ????? ?????,????????,???? ????? ?????,???? ????
222,???? ?????? ????? ??????,????????,?????????? ??? ?????????,??????
222001,???? ????? ?????? - ???? ?????,????????,???? ?????? ????? ??????,???? ????
223,???????? ???? ??????? (IFRS16),????????,?????????? ??? ?????????,??????
223001,?????? ??? ????? - ???? ?????,????????,???????? ???? ??????? (IFRS16),???? ????
3,???? ???????,???? ?????,Ñ,??????
31,??? ?????,???? ?????,???? ???????,??????
311,??? ?????,???? ?????,??? ?????,??????
311001,??? ????? ???????,???? ?????,??? ?????,???? ????
32,???????????,???? ?????,???? ???????,??????
321,?????????,???? ?????,???????????,??????
321001,????????? ???????,???? ?????,?????????,???? ????
321002,??????? ???,???? ?????,?????????,???? ????
33,??????? ???????,???? ?????,???? ???????,??????
331,??????? ???????? ?????????,???? ?????,??????? ???????,??????
331001,????? ????? ?? ????? ?????,???? ?????,??????? ???????? ?????????,???? ????
331002,???? ??? / ????? ????? ??????,???? ?????,??????? ???????? ?????????,???? ????
331003,??????? ????? (????),???? ?????,??????? ???????? ?????????,???? ????
34,???? ??????? ??????,???? ?????,???? ???????,??????
341,?????? ?????? ???????,???? ?????,???? ??????? ??????,??????
341001,???? ??????? / ?????????,???? ?????,?????? ?????? ???????,???? ????
4,?????????,???????,Ñ,??????
41,??????? ?????? ???????,???????,?????????,??????
411,??????? ??????,???????,??????? ?????? ???????,??????
411001,??????? ?????? ?????,???????,??????? ??????,???? ????
411002,??????? ?????? ?????,???????,??????? ??????,???? ????
411003,??????? ????? ??? ????? (Tolling),???????,??????? ??????,???? ????
411004,??????? ??? ?????? ??????? ???????,???????,??????? ??????,???? ????
42,??????? ???????? ????????,???????,?????????,??????
421,??????? ??????,???????,??????? ???????? ????????,??????
421001,??????? ???? ????? ?? (????),???????,??????? ??????,???? ????
43,??????? ????,???????,?????????,??????
431,??????? ??????,???????,??????? ????,??????
431001,????? ??? ???? / ????,???????,??????? ??????,???? ????
431002,??????? ?????? ????,???????,??????? ??????,???? ????
5,????? ?????????,???????,Ñ,??????
51,????? ?????????,???????,????? ?????????,??????
511,????? ?????????,???????,????? ?????????,??????
511000,?????? ????? ?????,???????,????? ?????????,???? ????
511001,???? ??? ??????? ?? ???????,???????,????? ?????????,???? ????
511002,???? ????? ??????,???????,????? ?????????,???? ????
511003,????? ?????? ??? ?????? (???? ???????? ??????),???????,????? ?????????,???? ????
511004,????? ???? ?????? ???????,???????,????? ?????????,???? ????
511005,????? ???? ???????,???????,????? ?????????,???? ????
511006,????? ?????? ???? ???????,???????,????? ?????????,???? ????
511007,?????? ???????? ????????? (Variance),???????,????? ?????????,???? ????
6,????????? ?????????,???????,Ñ,??????
61,??????? ???????,???????,????????? ?????????,??????
611,????? ?????,???????,??????? ???????,??????
611001,????? ???????? - ??????? ??????,???????,????? ?????,???? ????
611002,????? ????? ???????/??????,???????,????? ?????,???? ????
611003,????? ???????,???????,????? ?????,???? ????
611004,????????? ?????????? (GOSI),???????,????? ?????,???? ????
611005,??????? ?????,???????,????? ?????,???? ????
611006,?????? ????? ?????? (????? ??????),???????,????? ?????,???? ????
62,????????? ???????? ?????????,???????,????????? ?????????,??????
621,??????? ???????? ??????,???????,????????? ???????? ?????????,??????
621001,????? ????? ???????,???????,??????? ???????? ??????,???? ????
621002,????? ?????/????,???????,??????? ???????? ??????,???? ????
622,??????? ?????? ???? ????,???????,????????? ???????? ?????????,??????
622000,??? ?????????,???????,??????? ?????? ???? ????,???? ????
622001,??????? ????????,???????,??????? ?????? ???? ????,???? ????
622002,??????? ???????,???????,??????? ?????? ???? ????,???? ????
622003,????? ????? ??????,???????,??????? ?????? ???? ????,???? ????
623,????? ?????,???????,????????? ???????? ?????????,??????
623001,????? ?????? ???????,???????,????? ?????,???? ????
623002,????? ???????? ???????,???????,????? ?????,???? ????
624,???? ???? ??????,???????,????????? ???????? ?????????,??????
624001,???? ?????? ???????,???????,???? ???? ??????,???? ????
63,??????? ????? ????????,???????,????????? ?????????,??????
631,????? ??????,???????,??????? ????? ????????,??????
631001,????? ??????? ????????,???????,????? ??????,???? ????
631002,?????? ??????,???????,????? ??????,???? ????
64,??????? ??????? ????????,???????,????????? ?????????,??????
641,????? ??????,???????,??????? ??????? ????????,??????
641001,????? ????? ???????/???????,???????,????? ??????,???? ????
642,??????? ??????,???????,??????? ??????? ????????,??????
642001,?????? ?????,???????,??????? ??????,???? ????
65,??????? ??????????,???????,????????? ?????????,??????
651,????? ????????,???????,??????? ??????????,??????
651001,????? ????????? ????????,???????,????? ????????,???? ????
652,??????? ?????? ??? ????????,???????,??????? ??????????,??????
652001,??????? ?????? ??? ????????,???????,??????? ?????? ??? ????????,???? ????
66,??????? ???? ???????,???????,????????? ?????????,??????
661,????? ???????,???????,??????? ???? ???????,??????
661001,?????,???????,????? ???????,???? ????
662,?????? ????,???????,??????? ???? ???????,??????
662001,???? ???? ????? ???? (????? ??????),???????,?????? ????,???? ????
662002,?????? ????,???????,?????? ????,???? ????
7,??????? ???????? ????,???????,Ñ,??????
71,??????? ??????? ???????,???????,??????? ???????? ????,??????
711,??????? ??????? ???????,???????,??????? ??????? ???????,??????
711001,????? ????? ????? ?????,???????,??????? ??????? ???????,???? ????
72,???????? ?????????,???????,??????? ???????? ????,??????
721,????? ??????? ?????,???????,???????? ?????????,??????
721001,????? ??????? ?????,???????,????? ??????? ?????,???? ????
73,????? ?????? ??? ???????,???????,??????? ???????? ????,??????
731,?????/????? ??????? ???? ????? ????,???????,????? ?????? ??? ???????,??????
731001,?????/????? ??? ???? ?????,???????,?????/????? ??????? ???? ????? ????,???? ????
74,?????? ??????,???????,??????? ???????? ????,??????
741,?????? ??? ??????,???????,?????? ??????,??????
741001,?????? ??? ????,???????,?????? ??? ??????,???? ????
8,?????? ?????? ???????,????????,Ñ,??????
81,???? ??????? ????????,????????,?????? ?????? ???????,??????
811,???? ?????,????????,???? ??????? ????????,??????
811001,???? ??????? ???????? (?????),???? ?????,???? ?????,???? ????
82,?????? ?????? (??? ???????),????????,?????? ?????? ???????,??????
821,???????? ?????? ???????,????????,?????? ?????? (??? ???????),??????
821001,?????? ????? ?????,????????,???????? ?????? ???????,???? ????
821002,???????? ?????? (Contingent Liabilities),????????,???????? ?????? ???????,???? ????

