كود مستوى 1,اسم المستوى الأول,كود مستوى 2,اسم المستوى الثاني,كود مستوى 3,اسم المستوى الثالث,كود مستوى 4,اسم المستوى الرابع (حساب تفصيلي),طبيعة الحساب,القائمة المالية
1,الأصول,11,الأصول المتداولة,114,المخزون,1143,بضاعة بالطريق (شحنات مستوردة),مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,115,مصروفات مدفوعة مقدماً,1151,إيجارات مدفوعة مقدماً,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,115,مصروفات مدفوعة مقدماً,1152,تأمين مدفوع مقدماً,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,115,مصروفات مدفوعة مقدماً,1153,اشتراكات ورخص مدفوعة مقدماً,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,116,اعتمادات مستندية ومستندات شحن,1161,اعتمادات مستندية (LC) مفتوحة,مدين,قائمة المركز المالي
1,الأصول,11,الأصول المتداولة,116,اعتمادات مستندية ومستندات شحن,1162,مستندات شحن تحت التحصيل,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,121,الممتلكات والآلات والمعدات,1211,أراضٍ,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,121,الممتلكات والآلات والمعدات,1212,مباني ومنشآت,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,121,الممتلكات والآلات والمعدات,1213,آلات ومعدات,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,121,الممتلكات والآلات والمعدات,1214,سيارات ووسائل نقل,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,121,الممتلكات والآلات والمعدات,1215,أثاث وتجهيزات مكتبية,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,121,الممتلكات والآلات والمعدات,1216,أجهزة حاسب آلي,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,121,الممتلكات والآلات والمعدات,1217,تحسينات على مأجور,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,121,الممتلكات والآلات والمعدات,1218,مجمع الإهلاك (عكسي),مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,122,أصول غير ملموسة,1221,برامج وأنظمة,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,122,أصول غير ملموسة,1222,شهرة المحل,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,122,أصول غير ملموسة,1223,تراخيص وامتيازات تجارية,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,122,أصول غير ملموسة,1224,مجمع الاستهلاك (عكسي),مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,123,استثمارات وأصول أخرى غير متداولة,1231,استثمارات طويلة الأجل,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,123,استثمارات وأصول أخرى غير متداولة,1232,تأمينات مستردة طويلة الأجل,مدين,قائمة المركز المالي
1,الأصول,12,الأصول غير المتداولة,123,استثمارات وأصول أخرى غير متداولة,1233,حق استخدام أصول مستأجرة (IFRS16),مدين,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,211,الذمم الدائنة التجارية,2111,موردون - محليون,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,211,الذمم الدائنة التجارية,2112,موردون - مستوردون,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,211,الذمم الدائنة التجارية,2113,أوراق دفع,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,211,الذمم الدائنة التجارية,2114,موردون - أطراف ذات علاقة,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,211,الذمم الدائنة التجارية,2115,موردون أجانب - تصدير/استيراد,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,212,مصروفات مستحقة,2121,رواتب مستحقة,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,212,مصروفات مستحقة,2122,إيجارات مستحقة,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,212,مصروفات مستحقة,2123,مصروفات مستحقة أخرى,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,212,مصروفات مستحقة,2124,مكافأة نهاية الخدمة - الجزء المتداول,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,213,التزامات ضريبية وزكوية,2131,ضريبة القيمة المضافة المستحقة (مبيعات),دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,213,التزامات ضريبية وزكوية,2132,الزكاة المستحقة,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,213,التزامات ضريبية وزكوية,2133,ضريبة الاستقطاع,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,214,قروض قصيرة الأجل,2141,قرض بنكي قصير الأجل,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,214,قروض قصيرة الأجل,2142,الجزء المتداول من القروض طويلة الأجل,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,215,دفعات مقدمة ومستحقات عقود,2151,دفعات مقدمة من عملاء,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,216,رسوم ومستحقات تجارة خارجية,2161,رسوم جمركية مستحقة,دائن,قائمة المركز المالي
2,الالتزامات,21,الالتزامات المتداولة,216,رسوم ومستحقات تجارة خارجية,2162,اعتمادات مستندية دائنة,دائن,قائمة المركز المالي
2,الالتزامات,22,الالتزامات غير المتداولة,221,قروض طويلة الأجل,2211,قروض بنكية طويلة الأجل,دائن,قائمة المركز المالي
2,الالتزامات,22,الالتزامات غير المتداولة,222,مخصص مكافأة نهاية الخدمة,2221,مخصص نهاية الخدمة - طويل الأجل,دائن,قائمة المركز المالي
2,الالتزامات,22,الالتزامات غير المتداولة,223,التزامات عقود الإيجار (IFRS16),2231,التزام عقد إيجار - طويل الأجل,دائن,قائمة المركز المالي
3,حقوق الملكية,31,رأس المال,311,رأس المال,3111,رأس المال المدفوع,دائن,قائمة المركز المالي
3,حقوق الملكية,32,الاحتياطيات,321,احتياطيات,3211,الاحتياطي النظامي,دائن,قائمة المركز المالي
3,حقوق الملكية,32,الاحتياطيات,321,احتياطيات,3212,احتياطي عام,دائن,قائمة المركز المالي
3,حقوق الملكية,33,الأرباح المرحلة,331,الأرباح والخسائر المتراكمة,3311,أرباح مرحلة من سنوات سابقة,دائن,قائمة المركز المالي
3,حقوق الملكية,33,الأرباح المرحلة,331,الأرباح والخسائر المتراكمة,3312,صافي ربح / خسارة العام الحالي,دائن,قائمة المركز المالي
3,حقوق الملكية,33,الأرباح المرحلة,331,الأرباح والخسائر المتراكمة,3313,توزيعات أرباح (عكسي),دائن,قائمة المركز المالي
3,حقوق الملكية,34,حساب الشركاء الجاري,341,الحساب الجاري للشركاء,3411,جاري الشركاء / المساهمين,دائن,قائمة المركز المالي
4,الإيرادات,41,إيرادات النشاط الرئيسي,411,إيرادات النشاط,4111,إيرادات مبيعات محلية,دائن,قائمة الدخل
4,الإيرادات,41,إيرادات النشاط الرئيسي,411,إيرادات النشاط,4112,إيرادات مبيعات تصدير,دائن,قائمة الدخل
4,الإيرادات,41,إيرادات النشاط الرئيسي,411,إيرادات النشاط,4113,إيرادات عمولات وساطة تجارية,دائن,قائمة الدخل
4,الإيرادات,41,إيرادات النشاط الرئيسي,411,إيرادات النشاط,4114,إيرادات إعادة تصدير (Re-export),دائن,قائمة الدخل
4,الإيرادات,42,مردودات ومسموحات المبيعات,421,مردودات مبيعات,4211,مردودات وخصم مسموح به (عكسي),مدين,قائمة الدخل
4,الإيرادات,43,إيرادات أخرى,431,إيرادات متنوعة,4311,إيراد بيع خردة / أصول,دائن,قائمة الدخل
4,الإيرادات,43,إيرادات أخرى,431,إيرادات متنوعة,4312,إيرادات متنوعة أخرى,دائن,قائمة الدخل
5,تكلفة الإيرادات,51,تكلفة الإيرادات,511,تكلفة الإيرادات,5111,تكلفة شراء البضاعة,مدين,قائمة الدخل
5,تكلفة الإيرادات,51,تكلفة الإيرادات,511,تكلفة الإيرادات,5112,رسوم جمركية وتخليص,مدين,قائمة الدخل
5,تكلفة الإيرادات,51,تكلفة الإيرادات,511,تكلفة الإيرادات,5113,مصاريف شحن وتأمين بضاعة (Freight & Insurance),مدين,قائمة الدخل
5,تكلفة الإيرادات,51,تكلفة الإيرادات,511,تكلفة الإيرادات,5114,مصاريف تخزين ومناولة,مدين,قائمة الدخل
6,المصروفات التشغيلية,61,الرواتب والأجور,611,رواتب وأجور,6111,رواتب الموظفين - الإدارة العامة,مدين,قائمة الدخل
6,المصروفات التشغيلية,61,الرواتب والأجور,611,رواتب وأجور,6112,رواتب موظفي الميدان/الموقع,مدين,قائمة الدخل
6,المصروفات التشغيلية,61,الرواتب والأجور,611,رواتب وأجور,6113,بدلات ومكافآت,مدين,قائمة الدخل
6,المصروفات التشغيلية,61,الرواتب والأجور,611,رواتب وأجور,6114,التأمينات الاجتماعية (GOSI),مدين,قائمة الدخل
6,المصروفات التشغيلية,61,الرواتب والأجور,611,رواتب وأجور,6115,التأمين الطبي,مدين,قائمة الدخل
6,المصروفات التشغيلية,61,الرواتب والأجور,611,رواتب وأجور,6116,مكافأة نهاية الخدمة (مصروف الفترة),مدين,قائمة الدخل
6,المصروفات التشغيلية,62,المصروفات الإدارية والعمومية,621,إيجارات ومصروفات إدارية,6211,إيجار المقر الرئيسي,مدين,قائمة الدخل
6,المصروفات التشغيلية,62,المصروفات الإدارية والعمومية,621,إيجارات ومصروفات إدارية,6212,إيجار مواقع/فروع,مدين,قائمة الدخل
6,المصروفات التشغيلية,62,المصروفات الإدارية والعمومية,622,مصروفات إدارية عامة أخرى,6221,قرطاسية ومطبوعات,مدين,قائمة الدخل
6,المصروفات التشغيلية,62,المصروفات الإدارية والعمومية,622,مصروفات إدارية عامة أخرى,6222,اتصالات وإنترنت,مدين,قائمة الدخل
6,المصروفات التشغيلية,62,المصروفات الإدارية والعمومية,622,مصروفات إدارية عامة أخرى,6223,صيانة أجهزة وبرامج,مدين,قائمة الدخل
6,المصروفات التشغيلية,62,المصروفات الإدارية والعمومية,623,أتعاب ورسوم,6231,أتعاب محاسبة ومراجعة,مدين,قائمة الدخل
6,المصروفات التشغيلية,62,المصروفات الإدارية والعمومية,623,أتعاب ورسوم,6232,أتعاب استشارات قانونية,مدين,قائمة الدخل
6,المصروفات التشغيلية,62,المصروفات الإدارية والعمومية,624,رسوم ورخص حكومية,6241,رسوم حكومية وتراخيص,مدين,قائمة الدخل
6,المصروفات التشغيلية,63,مصروفات البيع والتسويق,631,دعاية وإعلان,6311,حملات تسويقية وإعلانية,مدين,قائمة الدخل
6,المصروفات التشغيلية,63,مصروفات البيع والتسويق,631,دعاية وإعلان,6312,عمولات مبيعات,مدين,قائمة الدخل
6,المصروفات التشغيلية,64,مصروفات الصيانة والمرافق,641,صيانة ومرافق,6411,صيانة دورية للمعدات/المنشآت,مدين,قائمة الدخل
6,المصروفات التشغيلية,64,مصروفات الصيانة والمرافق,642,المرافق العامة,6421,كهرباء ومياه,مدين,قائمة الدخل
6,المصروفات التشغيلية,65,الإهلاك والاستهلاك,651,إهلاك واستهلاك,6511,إهلاك الممتلكات والمعدات,مدين,قائمة الدخل
6,المصروفات التشغيلية,65,الإهلاك والاستهلاك,652,استهلاك الأصول غير الملموسة,6521,استهلاك الأصول غير الملموسة,مدين,قائمة الدخل
6,المصروفات التشغيلية,66,مصروفات أخرى تشغيلية,661,تأمين ومخصصات,6611,تأمين,مدين,قائمة الدخل
6,المصروفات التشغيلية,66,مصروفات أخرى تشغيلية,662,مخصصات أخرى,6621,مخصص ديون مشكوك فيها (مصروف الفترة),مدين,قائمة الدخل
6,المصروفات التشغيلية,66,مصروفات أخرى تشغيلية,662,مخصصات أخرى,6622,مخصصات أخرى,مدين,قائمة الدخل
7,إيرادات ومصروفات أخرى,71,إيرادات وتكاليف تمويلية,711,إيرادات وتكاليف تمويلية,7111,إيراد فوائد ودائع بنكية,دائن,قائمة الدخل
7,إيرادات ومصروفات أخرى,72,التكاليف التمويلية,721,فوائد ومصاريف تمويل,7211,فوائد ومصاريف تمويل,دائن,قائمة الدخل
7,إيرادات ومصروفات أخرى,73,أرباح وخسائر غير تشغيلية,731,أرباح/خسائر استبعاد أصول وفروق عملة,7311,أرباح/خسائر بيع أصول ثابتة,دائن,قائمة الدخل
7,إيرادات ومصروفات أخرى,74,فروقات العملة,741,فروقات صرف العملة,7411,فروقات صرف عملة,دائن,قائمة الدخل
8,حسابات ختامية ورقابية,81,حساب الأرباح والخسائر,811,ملخص الدخل,8111,حساب الأرباح والخسائر (إقفال),مذكرة (خارج الميزانية),حسابات ختامية / رقابية
8,حسابات ختامية ورقابية,82,حسابات نظامية (تحت الرقابة),821,التزامات محتملة وضمانات,8211,ضمانات بنكية صادرة,مذكرة (خارج الميزانية),حسابات ختامية / رقابية
8,حسابات ختامية ورقابية,82,حسابات نظامية (تحت الرقابة),821,التزامات محتملة وضمانات,8212,التزامات محتملة (Contingent Liabilities),مذكرة (خارج الميزانية),حسابات ختامية / رقابية
